Move,Nodes,Score,Time [s]
d4,1730,2.255,1.02
Nc6,2308,-0.275,1.48
Nf3,2669,2.260,2.19
d5,993,-2.955,0.81
Nc3,3099,2.400,2.89
e6,1227,-0.815,1.16
Bg5,4289,3.245,3.07
f6,2700,-0.875,2.14
Bf4,2171,3.265,1.55
Ne7,2261,-0.385,1.88
Qd3,4886,3.220,3.45
Ng6,2941,-0.310,2.94
Bg3,2617,3.355,2.2
Bb4,2876,-0.030,2.93
0-0-0,658,3.620,1.04
Bxc3,2032,0.405,2.6
Qxc3,2042,4.660,2.29
0-0,1255,0.950,0.97
Qc5,2320,5.395,1.68
Bd7,1392,0.900,0.98
Ng1,2268,6.045,1.75
b6,1461,-0.055,1.36
Qb5,2468,5.370,2.29
Nxd4,1638,-1.010,1.14
Qb4,2077,4.345,1.6
c5,2333,-1.085,1.68
Qd2,3177,3.050,2.64
Nf5,5703,-1.295,4.08
e4,1376,1.730,0.94
dxe4,2735,-2.200,2.06
Qxd7,1988,4.443,1.58
Qxd7,1350,1.018,0.97
Rxd7,1291,4.043,0.9
Rc8,1659,1.263,1.11
Ba6,1861,5.493,1.73
Rc6,1479,1.250,1.19
Bb7,2276,6.213,1.55
Nxg3,1262,1.940,0.94
hxg3,1775,7.077,1.17
e3,1684,4.062,1.09
Bxc6,1692,10.292,1.56
exf2,982,4.025,0.67
Nf3,1014,7.572,0.77
Ne7,2652,4.137,1.72
Bxa8,2005,12.522,1.33
Nc6,3121,9.098,1.9
Bxc6,3650,15.672,2.45
f1=Q,720,13.512,0.47
Rxf1,247,17.748,0.16
e5,518,15.650,0.36
Nxe5,2602,19.720,1.69
g6,490,16.808,0.28
Rxf6,2371,20.713,1.5
a6,391,17.750,0.22
Rf7,2079,1000.000,1.34
Re7,35,1000.000,0.02
Rd7,26,1000.000,0.02
Rg7,112,1000.000,0.07
Nxg6,75,1000.000,0.05
